,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[155],0.98,0.013,0.956,0.998,0.0,0.0,38839.0,18676.0,1.0
p_pain[156],0.95,0.024,0.906,0.987,0.0,0.0,40432.0,18378.0,1.0
p_pain[157],0.55,0.061,0.436,0.665,0.0,0.0,35620.0,16890.0,1.0
p_pain[158],0.986,0.01,0.968,0.999,0.0,0.0,36739.0,18795.0,1.0
p_pain[159],0.968,0.018,0.935,0.994,0.0,0.0,36991.0,18698.0,1.0
p_pain[160],0.995,0.005,0.986,1.0,0.0,0.0,32983.0,18708.0,1.0
p_pain[161],0.474,0.038,0.404,0.545,0.0,0.0,31108.0,14607.0,1.0
p_pain[162],0.13,0.057,0.034,0.234,0.0,0.0,25639.0,14618.0,1.0
p_pain[163],0.935,0.026,0.887,0.98,0.0,0.0,36295.0,18962.0,1.0
p_pain[164],0.45,0.074,0.31,0.585,0.0,0.0,31108.0,14607.0,1.0
p_pain[165],0.768,0.056,0.664,0.868,0.0,0.0,46982.0,18291.0,1.0
p_pain[166],0.326,0.057,0.221,0.435,0.0,0.0,26702.0,13553.0,1.0
p_pain[167],0.982,0.012,0.96,0.998,0.0,0.0,34057.0,18684.0,1.0
p_pain[168],0.901,0.038,0.832,0.969,0.0,0.0,46462.0,18124.0,1.0
p_pain[169],0.172,0.061,0.066,0.286,0.0,0.0,25735.0,14128.0,1.0
p_pain[170],0.664,0.047,0.578,0.754,0.0,0.0,45253.0,18827.0,1.0
p_pain[171],0.787,0.038,0.717,0.86,0.0,0.0,43751.0,18608.0,1.0
p_pain[172],0.888,0.035,0.822,0.951,0.0,0.0,42288.0,18703.0,1.0
p_pain[173],0.474,0.038,0.404,0.545,0.0,0.0,31108.0,14607.0,1.0
p_pain[174],0.366,0.082,0.214,0.517,0.0,0.0,28976.0,14914.0,1.0
p_pain[175],0.982,0.012,0.96,0.998,0.0,0.0,34057.0,18684.0,1.0
p_pain[176],0.664,0.047,0.578,0.754,0.0,0.0,45253.0,18827.0,1.0
p_pain[177],0.95,0.024,0.906,0.987,0.0,0.0,40432.0,18378.0,1.0
p_pain[178],0.991,0.007,0.978,0.999,0.0,0.0,34858.0,18683.0,1.0
p_pain[179],0.98,0.013,0.956,0.998,0.0,0.0,38839.0,18676.0,1.0
p_pain[180],0.172,0.061,0.066,0.286,0.0,0.0,25735.0,14128.0,1.0
p_pain[181],0.995,0.005,0.986,1.0,0.0,0.0,32983.0,18708.0,1.0
p_pain[182],0.55,0.061,0.436,0.665,0.0,0.0,35620.0,16890.0,1.0
p_pain[183],0.901,0.038,0.832,0.969,0.0,0.0,46462.0,18124.0,1.0
p_pain[184],0.972,0.017,0.941,0.997,0.0,0.0,41075.0,18338.0,1.0
p_pain[185],0.13,0.057,0.034,0.234,0.0,0.0,25639.0,14618.0,1.0
p_pain[186],0.326,0.057,0.221,0.435,0.0,0.0,26702.0,13553.0,1.0
p_pain[187],0.888,0.035,0.822,0.951,0.0,0.0,42288.0,18703.0,1.0
p_pain[188],0.768,0.056,0.664,0.868,0.0,0.0,46982.0,18291.0,1.0
p_pain[189],0.968,0.018,0.935,0.994,0.0,0.0,36991.0,18698.0,1.0
