,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[172],0.723,0.099,0.537,0.831,0.043,0.033,6.0,11.0,2.56
p_pain[173],0.737,0.198,0.514,1.0,0.088,0.066,5.0,11.0,3.77
p_pain[174],0.657,0.072,0.525,0.739,0.031,0.024,6.0,11.0,2.57
p_pain[175],0.846,0.162,0.551,1.0,0.072,0.054,5.0,11.0,3.85
p_pain[176],0.66,0.073,0.525,0.746,0.032,0.024,6.0,11.0,2.56
p_pain[177],0.773,0.117,0.55,0.889,0.052,0.039,6.0,11.0,2.57
p_pain[178],0.814,0.13,0.562,0.932,0.057,0.043,6.0,11.0,2.57
p_pain[179],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[180],0.583,0.039,0.513,0.63,0.017,0.013,6.0,11.0,2.56
p_pain[181],0.868,0.159,0.564,1.0,0.071,0.053,5.0,11.0,3.85
p_pain[182],0.658,0.072,0.525,0.741,0.032,0.024,6.0,11.0,2.57
p_pain[183],0.773,0.117,0.549,0.888,0.052,0.039,6.0,11.0,2.58
p_pain[184],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[185],0.582,0.039,0.512,0.629,0.017,0.013,6.0,11.0,2.57
p_pain[186],0.586,0.04,0.513,0.637,0.017,0.013,6.0,11.0,2.6
p_pain[187],0.723,0.099,0.537,0.831,0.043,0.033,6.0,11.0,2.56
p_pain[188],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[189],0.775,0.117,0.55,0.891,0.052,0.039,6.0,11.0,2.57
p_pain[190],0.817,0.167,0.539,1.0,0.074,0.056,5.0,11.0,3.84
p_pain[191],0.773,0.117,0.55,0.888,0.052,0.039,6.0,11.0,2.57
p_pain[192],0.813,0.129,0.562,0.931,0.057,0.043,6.0,11.0,2.57
p_pain[193],0.781,0.178,0.526,1.0,0.08,0.06,5.0,11.0,3.82
p_pain[194],0.657,0.072,0.525,0.74,0.031,0.024,6.0,11.0,2.57
p_pain[195],0.584,0.039,0.513,0.631,0.017,0.013,6.0,11.0,2.56
p_pain[196],0.722,0.098,0.537,0.827,0.043,0.032,6.0,11.0,2.57
p_pain[197],0.657,0.072,0.525,0.74,0.031,0.024,6.0,11.0,2.57
p_pain[198],0.723,0.099,0.537,0.831,0.043,0.033,6.0,11.0,2.56
p_pain[199],0.658,0.072,0.525,0.741,0.032,0.024,6.0,11.0,2.57
p_pain[200],0.657,0.072,0.525,0.739,0.031,0.024,6.0,11.0,2.57
p_pain[201],0.66,0.073,0.525,0.746,0.032,0.024,6.0,11.0,2.56
p_pain[202],0.773,0.117,0.549,0.888,0.052,0.039,6.0,11.0,2.58
p_pain[203],0.846,0.162,0.551,1.0,0.072,0.054,5.0,11.0,3.85
p_pain[204],0.868,0.159,0.564,1.0,0.071,0.053,5.0,11.0,3.85
p_pain[205],0.775,0.117,0.55,0.891,0.052,0.039,6.0,11.0,2.57
p_pain[206],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[207],0.781,0.178,0.526,1.0,0.08,0.06,5.0,11.0,3.82
p_pain[208],0.817,0.167,0.539,1.0,0.074,0.056,5.0,11.0,3.84
p_pain[209],0.722,0.098,0.537,0.827,0.043,0.032,6.0,11.0,2.57
p_pain[210],0.813,0.129,0.562,0.931,0.057,0.043,6.0,11.0,2.57
p_pain[211],0.814,0.13,0.562,0.932,0.057,0.043,6.0,11.0,2.57
p_pain[212],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[213],0.584,0.039,0.513,0.631,0.017,0.013,6.0,11.0,2.56
p_pain[214],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[215],0.583,0.039,0.513,0.63,0.017,0.013,6.0,11.0,2.56
p_pain[216],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[217],0.773,0.117,0.55,0.889,0.052,0.039,6.0,11.0,2.57
p_pain[218],0.582,0.039,0.512,0.629,0.017,0.013,6.0,11.0,2.57
p_pain[219],0.773,0.117,0.55,0.888,0.052,0.039,6.0,11.0,2.57
p_pain[220],0.586,0.04,0.513,0.637,0.017,0.013,6.0,11.0,2.6
p_pain[221],0.737,0.198,0.514,1.0,0.088,0.066,5.0,11.0,3.77
p_pain[222],0.846,0.162,0.551,1.0,0.072,0.054,5.0,11.0,3.85
p_pain[223],0.66,0.073,0.525,0.746,0.032,0.024,6.0,11.0,2.56
p_pain[224],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[225],0.657,0.072,0.525,0.739,0.031,0.024,6.0,11.0,2.57
p_pain[226],0.737,0.198,0.514,1.0,0.088,0.066,5.0,11.0,3.77
p_pain[227],0.781,0.178,0.526,1.0,0.08,0.06,5.0,11.0,3.82
p_pain[228],0.817,0.167,0.539,1.0,0.074,0.056,5.0,11.0,3.84
p_pain[229],0.813,0.129,0.562,0.931,0.057,0.043,6.0,11.0,2.57
p_pain[230],0.775,0.117,0.55,0.891,0.052,0.039,6.0,11.0,2.57
p_pain[231],0.773,0.117,0.549,0.888,0.052,0.039,6.0,11.0,2.58
p_pain[232],0.773,0.117,0.55,0.888,0.052,0.039,6.0,11.0,2.57
p_pain[233],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[234],0.814,0.13,0.562,0.932,0.057,0.043,6.0,11.0,2.57
p_pain[235],0.773,0.117,0.55,0.889,0.052,0.039,6.0,11.0,2.57
p_pain[236],0.584,0.039,0.513,0.631,0.017,0.013,6.0,11.0,2.56
p_pain[237],0.586,0.04,0.513,0.637,0.017,0.013,6.0,11.0,2.6
p_pain[238],0.723,0.099,0.537,0.831,0.043,0.033,6.0,11.0,2.56
