,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[3443],0.373,0.037,0.303,0.444,0.0,0.0,21611.0,12939.0,1.0
p_pain[3444],0.246,0.066,0.123,0.369,0.0,0.0,21406.0,12861.0,1.0
p_pain[3445],0.492,0.031,0.433,0.55,0.0,0.0,23312.0,20551.0,1.0
p_pain[3446],0.205,0.064,0.09,0.325,0.0,0.0,22006.0,12758.0,1.0
p_pain[3447],0.402,0.034,0.337,0.466,0.0,0.0,20996.0,13556.0,1.0
p_pain[3448],0.574,0.021,0.535,0.613,0.0,0.0,20358.0,12422.0,1.0
p_pain[3449],0.085,0.058,0.004,0.187,0.001,0.001,21862.0,12689.0,1.0
p_pain[3450],0.544,0.015,0.517,0.573,0.0,0.0,20966.0,15010.0,1.0
p_pain[3451],0.604,0.027,0.554,0.655,0.0,0.0,20574.0,11663.0,1.0
p_pain[3452],0.462,0.031,0.403,0.518,0.0,0.0,23206.0,18833.0,1.0
p_pain[3453],0.555,0.013,0.531,0.581,0.0,0.0,21502.0,11692.0,1.0
p_pain[3454],0.07,0.052,0.004,0.162,0.001,0.001,22125.0,12780.0,1.0
p_pain[3455],0.514,0.01,0.494,0.534,0.0,0.0,22780.0,19350.0,1.0
p_pain[3456],0.865,0.042,0.786,0.942,0.0,0.0,31728.0,16869.0,1.0
p_pain[3457],0.993,0.006,0.982,1.0,0.0,0.0,26164.0,16492.0,1.0
p_pain[3458],0.611,0.029,0.556,0.665,0.0,0.0,30250.0,17993.0,1.0
p_pain[3459],0.997,0.003,0.992,1.0,0.0,0.0,26446.0,16793.0,1.0
p_pain[3460],0.92,0.044,0.84,0.987,0.0,0.0,31292.0,18302.0,1.0
p_pain[3461],0.483,0.118,0.267,0.709,0.001,0.001,22769.0,13991.0,1.0
p_pain[3462],0.213,0.092,0.059,0.388,0.001,0.001,20625.0,12999.0,1.0
p_pain[3463],0.972,0.016,0.944,0.996,0.0,0.0,26683.0,16496.0,1.0
p_pain[3464],0.074,0.049,0.007,0.163,0.0,0.0,20569.0,12961.0,1.0
p_pain[3465],0.767,0.088,0.606,0.921,0.001,0.0,27496.0,17276.0,1.0
p_pain[3466],0.852,0.036,0.782,0.918,0.0,0.0,29901.0,17161.0,1.0
p_pain[3467],0.743,0.033,0.683,0.806,0.0,0.0,28085.0,16057.0,1.0
p_pain[3468],0.324,0.064,0.202,0.442,0.0,0.0,20590.0,12944.0,1.0
p_pain[3469],0.985,0.01,0.967,0.999,0.0,0.0,27721.0,15812.0,1.0
p_pain[3470],0.912,0.03,0.855,0.965,0.0,0.0,26993.0,16085.0,1.0
p_pain[3471],0.953,0.022,0.911,0.988,0.0,0.0,28393.0,16297.0,1.0
p_pain[3472],0.987,0.01,0.969,0.999,0.0,0.0,29661.0,17067.0,1.0
p_pain[3473],0.783,0.035,0.716,0.849,0.0,0.0,26319.0,16650.0,1.0
p_pain[3474],0.991,0.007,0.979,1.0,0.0,0.0,26532.0,16689.0,1.0
p_pain[3475],0.995,0.004,0.988,1.0,0.0,0.0,27341.0,15873.0,1.0
p_pain[3476],0.957,0.022,0.916,0.992,0.0,0.0,30728.0,17451.0,1.0
p_pain[3477],0.928,0.028,0.875,0.975,0.0,0.0,26214.0,16556.0,1.0
p_pain[3478],0.998,0.003,0.993,1.0,0.0,0.0,26154.0,16530.0,1.0
p_pain[3479],0.953,0.022,0.911,0.988,0.0,0.0,28393.0,16297.0,1.0
p_pain[3480],0.912,0.03,0.855,0.965,0.0,0.0,26993.0,16085.0,1.0
p_pain[3481],0.324,0.064,0.202,0.442,0.0,0.0,20590.0,12944.0,1.0
p_pain[3482],0.957,0.022,0.916,0.992,0.0,0.0,30728.0,17451.0,1.0
p_pain[3483],0.977,0.014,0.952,0.997,0.0,0.0,26180.0,16520.0,1.0
p_pain[3484],0.611,0.029,0.556,0.665,0.0,0.0,30250.0,17993.0,1.0
p_pain[3485],0.985,0.01,0.967,0.999,0.0,0.0,27721.0,15812.0,1.0
