,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[4612],0.493,0.061,0.38,0.609,0.0,0.0,37003.0,19650.0,1.0
p_pain[4613],0.403,0.065,0.281,0.524,0.0,0.0,35766.0,18584.0,1.0
p_pain[4614],0.799,0.045,0.717,0.882,0.0,0.0,39798.0,17681.0,1.0
p_pain[4615],0.979,0.013,0.954,0.997,0.0,0.0,37854.0,19393.0,1.0
p_pain[4616],0.525,0.06,0.414,0.639,0.0,0.0,37267.0,19811.0,1.0
p_pain[4617],0.313,0.066,0.194,0.441,0.0,0.0,34855.0,17678.0,1.0
p_pain[4618],0.933,0.027,0.882,0.978,0.0,0.0,38675.0,18157.0,1.0
p_pain[4619],0.621,0.055,0.517,0.723,0.0,0.0,38755.0,19571.0,1.0
p_pain[4620],0.646,0.054,0.543,0.744,0.0,0.0,39172.0,19280.0,1.0
p_pain[4621],0.985,0.01,0.966,0.999,0.0,0.0,37606.0,19341.0,1.0
p_pain[4622],0.867,0.038,0.795,0.934,0.0,0.0,39462.0,17751.0,1.0
p_pain[4623],0.128,0.051,0.042,0.225,0.0,0.0,33764.0,16634.0,1.0
p_pain[4624],0.779,0.046,0.691,0.863,0.0,0.0,39838.0,17965.0,1.0
p_pain[4625],0.216,0.062,0.104,0.333,0.0,0.0,34056.0,17087.0,1.0
p_pain[4626],0.896,0.034,0.833,0.957,0.0,0.0,39164.0,17913.0,1.0
p_pain[4627],0.925,0.029,0.871,0.974,0.0,0.0,38792.0,17850.0,1.0
p_pain[4628],0.993,0.006,0.983,1.0,0.0,0.0,37198.0,19508.0,1.0
p_pain[4629],0.854,0.04,0.781,0.926,0.0,0.0,39542.0,17772.0,1.0
p_pain[4630],0.976,0.014,0.949,0.996,0.0,0.0,37920.0,19375.0,1.0
p_pain[4631],0.709,0.05,0.615,0.803,0.0,0.0,39724.0,18792.0,1.0
p_pain[4632],0.953,0.022,0.911,0.988,0.0,0.0,38319.0,18766.0,1.0
p_pain[4633],0.162,0.057,0.065,0.271,0.0,0.0,33727.0,16746.0,1.0
p_pain[4634],0.957,0.021,0.918,0.989,0.0,0.0,38236.0,18886.0,1.0
p_pain[4635],0.967,0.018,0.934,0.994,0.0,0.0,38194.0,19262.0,1.0
p_pain[4636],0.337,0.066,0.215,0.461,0.0,0.0,35089.0,17720.0,1.0
p_pain[4637],0.967,0.018,0.934,0.994,0.0,0.0,38194.0,19262.0,1.0
p_pain[4638],0.216,0.062,0.104,0.333,0.0,0.0,34056.0,17087.0,1.0
p_pain[4639],0.953,0.022,0.911,0.988,0.0,0.0,38319.0,18766.0,1.0
p_pain[4640],0.128,0.051,0.042,0.225,0.0,0.0,33764.0,16634.0,1.0
p_pain[4641],0.493,0.061,0.38,0.609,0.0,0.0,37003.0,19650.0,1.0
p_pain[4642],0.337,0.066,0.215,0.461,0.0,0.0,35089.0,17720.0,1.0
p_pain[4643],0.313,0.066,0.194,0.441,0.0,0.0,34855.0,17678.0,1.0
p_pain[4644],0.621,0.055,0.517,0.723,0.0,0.0,38755.0,19571.0,1.0
p_pain[4645],0.525,0.06,0.414,0.639,0.0,0.0,37267.0,19811.0,1.0
p_pain[4646],0.162,0.057,0.065,0.271,0.0,0.0,33727.0,16746.0,1.0
p_pain[4647],0.646,0.054,0.543,0.744,0.0,0.0,39172.0,19280.0,1.0
p_pain[4648],0.709,0.05,0.615,0.803,0.0,0.0,39724.0,18792.0,1.0
p_pain[4649],0.779,0.046,0.691,0.863,0.0,0.0,39838.0,17965.0,1.0
p_pain[4650],0.979,0.013,0.954,0.997,0.0,0.0,37854.0,19393.0,1.0
p_pain[4651],0.925,0.029,0.871,0.974,0.0,0.0,38792.0,17850.0,1.0
p_pain[4652],0.957,0.021,0.918,0.989,0.0,0.0,38236.0,18886.0,1.0
p_pain[4653],0.933,0.027,0.882,0.978,0.0,0.0,38675.0,18157.0,1.0
p_pain[4654],0.993,0.006,0.983,1.0,0.0,0.0,37198.0,19508.0,1.0
p_pain[4655],0.799,0.045,0.717,0.882,0.0,0.0,39798.0,17681.0,1.0
p_pain[4656],0.985,0.01,0.966,0.999,0.0,0.0,37606.0,19341.0,1.0
p_pain[4657],0.867,0.038,0.795,0.934,0.0,0.0,39462.0,17751.0,1.0
p_pain[4658],0.403,0.065,0.281,0.524,0.0,0.0,35766.0,18584.0,1.0
p_pain[4659],0.854,0.04,0.781,0.926,0.0,0.0,39542.0,17772.0,1.0
p_pain[4660],0.896,0.034,0.833,0.957,0.0,0.0,39164.0,17913.0,1.0
p_pain[4661],0.976,0.014,0.949,0.996,0.0,0.0,37920.0,19375.0,1.0
p_pain[4662],0.967,0.018,0.934,0.994,0.0,0.0,38194.0,19262.0,1.0
p_pain[4663],0.493,0.061,0.38,0.609,0.0,0.0,37003.0,19650.0,1.0
p_pain[4664],0.854,0.04,0.781,0.926,0.0,0.0,39542.0,17772.0,1.0
p_pain[4665],0.957,0.021,0.918,0.989,0.0,0.0,38236.0,18886.0,1.0
p_pain[4666],0.925,0.029,0.871,0.974,0.0,0.0,38792.0,17850.0,1.0
p_pain[4667],0.979,0.013,0.954,0.997,0.0,0.0,37854.0,19393.0,1.0
p_pain[4668],0.709,0.05,0.615,0.803,0.0,0.0,39724.0,18792.0,1.0
p_pain[4669],0.799,0.045,0.717,0.882,0.0,0.0,39798.0,17681.0,1.0
p_pain[4670],0.128,0.051,0.042,0.225,0.0,0.0,33764.0,16634.0,1.0
p_pain[4671],0.933,0.027,0.882,0.978,0.0,0.0,38675.0,18157.0,1.0
p_pain[4672],0.313,0.066,0.194,0.441,0.0,0.0,34855.0,17678.0,1.0
p_pain[4673],0.525,0.06,0.414,0.639,0.0,0.0,37267.0,19811.0,1.0
p_pain[4674],0.976,0.014,0.949,0.996,0.0,0.0,37920.0,19375.0,1.0
p_pain[4675],0.867,0.038,0.795,0.934,0.0,0.0,39462.0,17751.0,1.0
p_pain[4676],0.993,0.006,0.983,1.0,0.0,0.0,37198.0,19508.0,1.0
p_pain[4677],0.337,0.066,0.215,0.461,0.0,0.0,35089.0,17720.0,1.0
p_pain[4678],0.646,0.054,0.543,0.744,0.0,0.0,39172.0,19280.0,1.0
p_pain[4679],0.403,0.065,0.281,0.524,0.0,0.0,35766.0,18584.0,1.0
p_pain[4680],0.896,0.034,0.833,0.957,0.0,0.0,39164.0,17913.0,1.0
p_pain[4681],0.953,0.022,0.911,0.988,0.0,0.0,38319.0,18766.0,1.0
p_pain[4682],0.985,0.01,0.966,0.999,0.0,0.0,37606.0,19341.0,1.0
p_pain[4683],0.779,0.046,0.691,0.863,0.0,0.0,39838.0,17965.0,1.0
p_pain[4684],0.216,0.062,0.104,0.333,0.0,0.0,34056.0,17087.0,1.0
p_pain[4685],0.162,0.057,0.065,0.271,0.0,0.0,33727.0,16746.0,1.0
p_pain[4686],0.621,0.055,0.517,0.723,0.0,0.0,38755.0,19571.0,1.0
sigma_beta,46.132,1.726,42.872,49.351,0.01,0.007,29738.0,20817.0,1.0
sigmak,16.647,1.351,14.11,19.16,0.007,0.005,33378.0,21206.0,1.0
sv_both[0],-2.944,0.346,-3.6,-2.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[1],-2.455,0.346,-3.111,-1.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[2],-2.167,0.346,-2.823,-1.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[3],-2.86,0.346,-3.516,-2.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[4],-3.167,0.346,-3.823,-2.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[5],-1.455,0.346,-2.111,-0.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[6],-4.455,0.346,-5.111,-3.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[7],-2.553,0.346,-3.21,-1.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[8],-1.167,0.346,-1.823,-0.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[9],-4.167,0.346,-4.823,-3.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[10],0.056,0.346,-0.6,0.644,0.003,0.003,24095.0,13325.0,1.0
sv_both[11],-3.944,0.346,-4.6,-3.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[12],-4.553,0.346,-5.21,-3.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[13],-0.944,0.346,-1.6,-0.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[14],-0.86,0.346,-1.516,-0.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[15],-4.86,0.346,-5.516,-4.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[16],-0.455,0.346,-1.111,0.133,0.003,0.003,24095.0,13325.0,1.0
sv_both[17],-3.86,0.346,-4.516,-3.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[18],-1.86,0.346,-2.516,-1.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[19],-3.455,0.346,-4.111,-2.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[20],-1.944,0.346,-2.6,-1.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[21],-5.553,0.346,-6.21,-4.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[22],-0.167,0.346,-0.823,0.421,0.003,0.003,24095.0,13325.0,1.0
sv_both[23],-3.553,0.346,-4.21,-2.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[24],-4.553,0.346,-5.21,-3.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[25],-2.86,0.346,-3.516,-2.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[26],-2.455,0.346,-3.111,-1.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[27],-3.167,0.346,-3.823,-2.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[28],-5.553,0.346,-6.21,-4.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[29],-0.86,0.346,-1.516,-0.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[30],-3.944,0.346,-4.6,-3.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[31],-2.167,0.346,-2.823,-1.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[32],-2.553,0.346,-3.21,-1.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[33],-3.455,0.346,-4.111,-2.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[34],-0.944,0.346,-1.6,-0.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[35],-0.167,0.346,-0.823,0.421,0.003,0.003,24095.0,13325.0,1.0
sv_both[36],-4.167,0.346,-4.823,-3.579,0.003,0.002,24095.0,13325.0,1.0
sv_both[37],-1.455,0.346,-2.111,-0.867,0.003,0.002,24095.0,13325.0,1.0
sv_both[38],-2.944,0.346,-3.6,-2.356,0.003,0.002,24095.0,13325.0,1.0
sv_both[39],-3.553,0.346,-4.21,-2.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[40],-1.86,0.346,-2.516,-1.272,0.003,0.002,24095.0,13325.0,1.0
sv_both[41],-1.553,0.346,-2.21,-0.965,0.003,0.002,24095.0,13325.0,1.0
sv_both[42],-4.455,0.346,-5.111,-3.867,0.003,0.002,24095.0,13325.0,1.0
