,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sv_pain[189],0.276,0.066,0.149,0.392,0.001,0.001,4575.0,2146.0,1.0
sv_pain[190],1.38,0.329,0.744,1.962,0.006,0.004,4575.0,2146.0,1.0
sv_pain[191],1.38,0.329,0.744,1.962,0.006,0.004,4575.0,2146.0,1.0
sv_pain[192],0.276,0.066,0.149,0.392,0.001,0.001,4575.0,2146.0,1.0
sv_pain[193],1.38,0.329,0.744,1.962,0.006,0.004,4575.0,2146.0,1.0
sv_pain[194],1.38,0.329,0.744,1.962,0.006,0.004,4575.0,2146.0,1.0
sv_pain[195],0.552,0.132,0.298,0.785,0.002,0.002,4575.0,2146.0,1.0
sv_pain[196],1.104,0.263,0.595,1.57,0.005,0.003,4575.0,2146.0,1.0
sv_pain[197],1.104,0.263,0.595,1.57,0.005,0.003,4575.0,2146.0,1.0
sv_pain[198],0.276,0.066,0.149,0.392,0.001,0.001,4575.0,2146.0,1.0
sv_pain[199],0.552,0.132,0.298,0.785,0.002,0.002,4575.0,2146.0,1.0
sv_pain[200],1.104,0.263,0.595,1.57,0.005,0.003,4575.0,2146.0,1.0
sv_pain[201],0.276,0.066,0.149,0.392,0.001,0.001,4575.0,2146.0,1.0
sv_pain[202],1.104,0.263,0.595,1.57,0.005,0.003,4575.0,2146.0,1.0
sv_pain[203],1.38,0.329,0.744,1.962,0.006,0.004,4575.0,2146.0,1.0
sv_pain[204],0.828,0.198,0.447,1.177,0.003,0.002,4575.0,2146.0,1.0
sv_pain[205],0.552,0.132,0.298,0.785,0.002,0.002,4575.0,2146.0,1.0
sv_pain[206],1.104,0.263,0.595,1.57,0.005,0.003,4575.0,2146.0,1.0
sv_pain[207],0.276,0.066,0.149,0.392,0.001,0.001,4575.0,2146.0,1.0
sv_pain[208],0.828,0.198,0.447,1.177,0.003,0.002,4575.0,2146.0,1.0
sv_pain[209],1.38,0.329,0.744,1.962,0.006,0.004,4575.0,2146.0,1.0
sv_pain[210],0.828,0.198,0.447,1.177,0.003,0.002,4575.0,2146.0,1.0
sv_pain[211],0.276,0.066,0.149,0.392,0.001,0.001,4575.0,2146.0,1.0
sv_pain[212],0.552,0.132,0.298,0.785,0.002,0.002,4575.0,2146.0,1.0
sv_pain[213],1.104,0.263,0.595,1.57,0.005,0.003,4575.0,2146.0,1.0
sv_pain[214],0.828,0.198,0.447,1.177,0.003,0.002,4575.0,2146.0,1.0
sv_pain[215],0.828,0.198,0.447,1.177,0.003,0.002,4575.0,2146.0,1.0
sv_pain[216],0.552,0.132,0.298,0.785,0.002,0.002,4575.0,2146.0,1.0
