participant,painstim,moneystim,all_trials_rewards,painlevel,painlevel_J,leftstim,rightstim,acceptside,acceptkey,accepted,choice_resp.keys,choice_resp.rt,blocks.thisRepN,trials.thisN,TaskName,P1,P2,P3,P4,P5,fail_ma,fixduration,moneylevel,rt,response,subj_idx,acceptance_pair,OV_value,Abs_value,OV_Money_Pain,Abs_Money_Pain,fixduration,moneylevel,sv_money,sv_pain,sv_both,p_pain_all
sub-002,p5,m1,,5,66000.0,stimuli/p5.png,stimuli/m1.png,right,m,1.0,m,0.6491211000011391,1.0,13.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,1,0.6491211000011391,1.0,sub-002,P,high_OV,high_abs,h_OV_h_pain,high_abs_h_pain,1.8,1,1,1.166666666666662,0.1666666666666623,1.0
sub-002,p2,m5,,2,30500.0,stimuli/p2.png,stimuli/m5.png,right,m,1.0,m,0.7414446999991924,1.0,14.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,5,0.7414446999991924,1.0,sub-002,M,high_OV,high_abs,h_OV_h_money,high_abs_h_money,1.8,5,5,0.466666666666665,-4.533333333333335,1.0
sub-002,p2,m3,,2,30500.0,stimuli/p2.png,stimuli/m3.png,right,m,1.0,m,0.6434161000015592,1.0,15.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,3,0.6434161000015592,1.0,sub-002,M,low_OV,low_abs,low_OV_h_money,low_abs_h_money,1.7,3,3,0.466666666666665,-2.533333333333335,1.0
sub-002,p4,m2,,4,53000.0,stimuli/p4.png,stimuli/m2.png,right,m,1.0,m,0.9690012999999452,1.0,16.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,2,0.9690012999999452,1.0,sub-002,P,high_OV,mid_abs,h_OV_h_pain,mid_abs,2.0,2,2,0.9333333333333299,-1.06666666666667,1.0
sub-002,p3,m4,,3,41500.0,stimuli/p3.png,stimuli/m4.png,right,m,1.0,m,0.5966304999983549,1.0,17.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,4,0.5966304999983549,1.0,sub-002,M,high_OV,low_abs,h_OV_h_money,low_abs_h_money,1.7,4,4,0.6999999999999974,-3.300000000000002,1.0
sub-002,p4,m3,,4,53000.0,stimuli/p4.png,stimuli/m3.png,right,m,1.0,m,0.9324085000007472,1.0,18.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,3,0.9324085000007472,1.0,sub-002,P,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.5,3,3,0.9333333333333299,-2.06666666666667,1.0
sub-002,p3,m3,,3,41500.0,stimuli/m3.png,stimuli/p3.png,right,m,1.0,m,0.5464453999993566,1.0,19.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,3,0.5464453999993566,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,2.0,3,3,0.6999999999999974,-2.300000000000002,1.0
sub-002,p2,m4,,2,30500.0,stimuli/p2.png,stimuli/m4.png,right,m,1.0,m,0.5726339000011649,1.0,20.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,4,0.5726339000011649,1.0,sub-002,M,high_OV,mid_abs,h_OV_h_money,mid_abs,1.6,4,4,0.466666666666665,-3.533333333333335,1.0
sub-002,p1,m1,,1,20500.0,stimuli/m1.png,stimuli/p1.png,right,m,1.0,m,2.6889069000008017,1.0,21.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,1,2.6889069000008017,1.0,sub-002,I,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.9,1,1,0.2333333333333325,-0.7666666666666675,1.0
sub-002,p5,m2,,5,66000.0,stimuli/m2.png,stimuli/p5.png,right,m,1.0,m,0.4532328000004781,1.0,22.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,2,0.4532328000004781,1.0,sub-002,P,high_OV,high_abs,h_OV_h_pain,high_abs_h_pain,1.9,2,2,1.166666666666662,-0.8333333333333377,1.0
sub-002,p1,m3,,1,20500.0,stimuli/p1.png,stimuli/m3.png,right,m,1.0,m,0.534575900001073,1.0,23.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,3,0.534575900001073,1.0,sub-002,M,low_OV,mid_abs,low_OV_h_money,mid_abs,2.0,3,3,0.2333333333333325,-2.766666666666667,1.0
sub-002,p5,m3,,5,66000.0,stimuli/p5.png,stimuli/m3.png,right,m,1.0,m,0.5625657000000501,1.0,24.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,3,0.5625657000000501,1.0,sub-002,P,high_OV,mid_abs,h_OV_h_pain,mid_abs,1.8,3,3,1.166666666666662,-1.833333333333338,1.0
sub-002,p3,m4,,3,41500.0,stimuli/m4.png,stimuli/p3.png,right,m,1.0,m,0.5399084000000585,2.0,0.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,4,0.5399084000000585,1.0,sub-002,M,high_OV,low_abs,h_OV_h_money,low_abs_h_money,1.8,4,4,0.6999999999999974,-3.300000000000002,1.0
sub-002,p4,m4,,4,53000.0,stimuli/p4.png,stimuli/m4.png,right,m,1.0,m,0.4002994000002218,2.0,1.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,4,0.4002994000002218,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.7,4,4,0.9333333333333299,-3.06666666666667,1.0
sub-002,p2,m4,,2,30500.0,stimuli/p2.png,stimuli/m4.png,right,m,1.0,m,0.4257575999999972,2.0,2.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,4,0.4257575999999972,1.0,sub-002,M,high_OV,mid_abs,h_OV_h_money,mid_abs,1.8,4,4,0.466666666666665,-3.533333333333335,1.0
sub-002,p2,m2,,2,30500.0,stimuli/m2.png,stimuli/p2.png,right,m,1.0,m,0.5451631999985693,2.0,3.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,2,0.5451631999985693,1.0,sub-002,I,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.6,2,2,0.466666666666665,-1.533333333333335,1.0
sub-002,p2,m5,,2,30500.0,stimuli/m5.png,stimuli/p2.png,right,m,1.0,m,0.8715085000003455,2.0,4.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.6,5,0.8715085000003455,1.0,sub-002,M,high_OV,high_abs,h_OV_h_money,high_abs_h_money,1.6,5,5,0.466666666666665,-4.533333333333335,1.0
sub-002,p4,m2,,4,53000.0,stimuli/p4.png,stimuli/m2.png,right,m,1.0,m,0.5991358999999647,2.0,5.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,2,0.5991358999999647,1.0,sub-002,P,high_OV,mid_abs,h_OV_h_pain,mid_abs,1.5,2,2,0.9333333333333299,-1.06666666666667,1.0
sub-002,p1,m5,,1,20500.0,stimuli/m5.png,stimuli/p1.png,right,m,1.0,m,0.6157034999996539,2.0,6.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,5,0.6157034999996539,1.0,sub-002,M,high_OV,high_abs,h_OV_h_money,high_abs_h_money,1.9,5,5,0.2333333333333325,-4.766666666666667,1.0
sub-002,p1,m3,,1,20500.0,stimuli/p1.png,stimuli/m3.png,right,m,1.0,m,0.6341179000010015,2.0,7.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,3,0.6341179000010015,1.0,sub-002,M,low_OV,mid_abs,low_OV_h_money,mid_abs,2.0,3,3,0.2333333333333325,-2.766666666666667,1.0
