participant;painstim;moneystim;all_trials_rewards;painlevel;painlevel_J;leftstim;rightstim;acceptside;acceptkey;accepted;choice_resp.keys;choice_resp.rt;blocks.thisRepN;trials.thisN;TaskName;P1;P2;P3;P4;P5;fail_ma;fixduration;moneylevel
sub-002;p1;m4;;1.0;20500.0;stimuli/m4.png;stimuli/p1.png;right;m;1.0;m;1.2261822999989818;4.0;1.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;4.0
sub-002;p3;m5;;3.0;41500.0;stimuli/p3.png;stimuli/m5.png;right;m;1.0;m;0.7069886000008408;4.0;2.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;5.0
sub-002;p5;m3;;5.0;66000.0;stimuli/p5.png;stimuli/m3.png;right;m;1.0;m;0.6646188000013353;4.0;3.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;3.0
sub-002;p5;m4;;5.0;66000.0;stimuli/p5.png;stimuli/m4.png;right;m;1.0;m;1.0719834999999875;4.0;4.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;4.0
sub-002;p3;m3;;3.0;41500.0;stimuli/m3.png;stimuli/p3.png;right;m;1.0;m;0.6301718000013352;4.0;5.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;3.0
sub-002;p5;m1;;5.0;66000.0;stimuli/p5.png;stimuli/m1.png;right;m;1.0;m;0.6467382999999245;4.0;6.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p4;m4;;4.0;53000.0;stimuli/p4.png;stimuli/m4.png;right;m;1.0;m;1.1031271000010747;4.0;7.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;4.0
sub-002;p2;m3;;2.0;30500.0;stimuli/p2.png;stimuli/m3.png;right;m;1.0;m;1.1210179999998218;4.0;8.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;3.0
sub-002;p2;m2;;2.0;30500.0;stimuli/p2.png;stimuli/m2.png;right;m;1.0;m;0.9959436999997706;4.0;9.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;2.0
sub-002;p3;m4;;3.0;41500.0;stimuli/m4.png;stimuli/p3.png;right;m;1.0;m;1.0130503000000315;4.0;10.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;4.0
sub-002;p4;m2;;4.0;53000.0;stimuli/m2.png;stimuli/p4.png;right;m;1.0;m;0.5697804999999789;4.0;11.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;2.0
sub-002;p3;m2;;3.0;41500.0;stimuli/m2.png;stimuli/p3.png;right;m;1.0;m;0.9230928999986644;4.0;12.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;2.0
sub-002;p2;m1;;2.0;30500.0;stimuli/m1.png;stimuli/p2.png;right;m;1.0;m;0.9011984000007942;4.0;13.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p3;m1;;3.0;41500.0;stimuli/p3.png;stimuli/m1.png;right;m;1.0;m;0.9795821999996406;4.0;14.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p1;m5;;1.0;20500.0;stimuli/p1.png;stimuli/m5.png;right;m;1.0;m;0.7467195999997784;4.0;15.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;5.0
sub-002;p2;m4;;2.0;30500.0;stimuli/p2.png;stimuli/m4.png;right;m;1.0;m;0.7862592000001314;4.0;16.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;4.0
sub-002;p5;m2;;5.0;66000.0;stimuli/p5.png;stimuli/m2.png;right;m;1.0;m;1.3833281999995959;4.0;17.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;2.0
sub-002;p2;m5;;2.0;30500.0;stimuli/m5.png;stimuli/p2.png;right;m;1.0;m;0.8680178999984491;4.0;18.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;5.0
