,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[2839],0.154,0.076,0.032,0.294,0.001,0.001,7048.0,4406.0,1.0
p_pain[2840],0.995,0.005,0.986,1.0,0.0,0.0,10678.0,5584.0,1.0
p_pain[2841],0.865,0.064,0.743,0.967,0.001,0.0,8830.0,5846.0,1.0
p_pain[2842],0.163,0.059,0.057,0.27,0.001,0.001,7330.0,4474.0,1.0
p_pain[2843],0.839,0.035,0.774,0.906,0.0,0.0,10468.0,5763.0,1.0
p_pain[2844],0.994,0.005,0.985,1.0,0.0,0.0,10351.0,5650.0,1.0
p_pain[2845],0.85,0.039,0.778,0.924,0.0,0.0,10616.0,6148.0,1.0
p_pain[2846],0.031,0.025,0.002,0.079,0.0,0.0,7704.0,4712.0,1.0
p_pain[2847],0.469,0.046,0.376,0.55,0.001,0.0,7041.0,5108.0,1.0
p_pain[2848],0.996,0.004,0.989,1.0,0.0,0.0,10778.0,5757.0,1.0
p_pain[2849],0.971,0.016,0.941,0.995,0.0,0.0,10765.0,5647.0,1.0
p_pain[2850],0.978,0.015,0.952,0.998,0.0,0.0,10722.0,6063.0,1.0
p_pain[2851],0.998,0.002,0.994,1.0,0.0,0.0,10468.0,5763.0,1.0
p_pain[2852],0.943,0.024,0.898,0.983,0.0,0.0,10645.0,5569.0,1.0
p_pain[2853],0.548,0.078,0.406,0.698,0.001,0.001,7354.0,5278.0,1.0
p_pain[2854],0.517,0.12,0.293,0.737,0.001,0.001,7228.0,4887.0,1.0
p_pain[2855],0.969,0.017,0.937,0.995,0.0,0.0,10377.0,5754.0,1.0
p_pain[2856],0.989,0.008,0.975,0.999,0.0,0.0,10526.0,5678.0,1.0
p_pain[2857],1.0,0.0,0.999,1.0,0.0,0.0,10327.0,5671.0,1.0
p_pain[2858],0.999,0.001,0.997,1.0,0.0,0.0,10609.0,5694.0,1.0
p_pain[2859],0.974,0.019,0.939,0.999,0.0,0.0,10146.0,6005.0,1.0
p_pain[2860],0.999,0.002,0.996,1.0,0.0,0.0,10336.0,5650.0,1.0
p_pain[2861],0.729,0.033,0.667,0.791,0.0,0.0,10722.0,6063.0,1.0
p_pain[2862],0.974,0.019,0.939,0.999,0.0,0.0,10146.0,6005.0,1.0
p_pain[2863],0.996,0.004,0.989,1.0,0.0,0.0,10778.0,5757.0,1.0
p_pain[2864],0.995,0.005,0.986,1.0,0.0,0.0,10678.0,5584.0,1.0
p_pain[2865],0.729,0.033,0.667,0.791,0.0,0.0,10722.0,6063.0,1.0
p_pain[2866],0.163,0.059,0.057,0.27,0.001,0.001,7330.0,4474.0,1.0
p_pain[2867],0.971,0.016,0.941,0.995,0.0,0.0,10765.0,5647.0,1.0
p_pain[2868],0.999,0.002,0.996,1.0,0.0,0.0,10336.0,5650.0,1.0
p_pain[2869],0.469,0.046,0.376,0.55,0.001,0.0,7041.0,5108.0,1.0
p_pain[2870],0.154,0.076,0.032,0.294,0.001,0.001,7048.0,4406.0,1.0
p_pain[2871],0.517,0.12,0.293,0.737,0.001,0.001,7228.0,4887.0,1.0
p_pain[2872],0.989,0.008,0.975,0.999,0.0,0.0,10526.0,5678.0,1.0
p_pain[2873],0.85,0.039,0.778,0.924,0.0,0.0,10616.0,6148.0,1.0
p_pain[2874],0.865,0.064,0.743,0.967,0.001,0.0,8830.0,5846.0,1.0
p_pain[2875],0.978,0.015,0.952,0.998,0.0,0.0,10722.0,6063.0,1.0
p_pain[2876],0.998,0.002,0.994,1.0,0.0,0.0,10468.0,5763.0,1.0
p_pain[2877],0.994,0.005,0.985,1.0,0.0,0.0,10351.0,5650.0,1.0
p_pain[2878],0.999,0.001,0.997,1.0,0.0,0.0,10609.0,5694.0,1.0
p_pain[2879],1.0,0.001,0.999,1.0,0.0,0.0,10430.0,5763.0,1.0
p_pain[2880],0.839,0.035,0.774,0.906,0.0,0.0,10468.0,5763.0,1.0
p_pain[2881],0.883,0.044,0.801,0.959,0.0,0.0,9801.0,5937.0,1.0
p_pain[2882],0.548,0.078,0.406,0.698,0.001,0.001,7354.0,5278.0,1.0
p_pain[2883],0.031,0.025,0.002,0.079,0.0,0.0,7704.0,4712.0,1.0
p_pain[2884],1.0,0.0,0.999,1.0,0.0,0.0,10327.0,5671.0,1.0
p_pain[2885],0.943,0.024,0.898,0.983,0.0,0.0,10645.0,5569.0,1.0
p_pain[2886],0.969,0.017,0.937,0.995,0.0,0.0,10377.0,5754.0,1.0
p_pain[2887],1.0,0.0,0.999,1.0,0.0,0.0,10327.0,5671.0,1.0
p_pain[2888],0.978,0.015,0.952,0.998,0.0,0.0,10722.0,6063.0,1.0
p_pain[2889],0.517,0.12,0.293,0.737,0.001,0.001,7228.0,4887.0,1.0
p_pain[2890],0.994,0.005,0.985,1.0,0.0,0.0,10351.0,5650.0,1.0
p_pain[2891],0.85,0.039,0.778,0.924,0.0,0.0,10616.0,6148.0,1.0
p_pain[2892],0.995,0.005,0.986,1.0,0.0,0.0,10678.0,5584.0,1.0
p_pain[2893],0.883,0.044,0.801,0.959,0.0,0.0,9801.0,5937.0,1.0
p_pain[2894],0.469,0.046,0.376,0.55,0.001,0.0,7041.0,5108.0,1.0
p_pain[2895],0.999,0.001,0.997,1.0,0.0,0.0,10609.0,5694.0,1.0
p_pain[2896],0.943,0.024,0.898,0.983,0.0,0.0,10645.0,5569.0,1.0
p_pain[2897],0.974,0.019,0.939,0.999,0.0,0.0,10146.0,6005.0,1.0
p_pain[2898],0.154,0.076,0.032,0.294,0.001,0.001,7048.0,4406.0,1.0
p_pain[2899],0.163,0.059,0.057,0.27,0.001,0.001,7330.0,4474.0,1.0
p_pain[2900],0.996,0.004,0.989,1.0,0.0,0.0,10778.0,5757.0,1.0
p_pain[2901],0.989,0.008,0.975,0.999,0.0,0.0,10526.0,5678.0,1.0
p_pain[2902],0.729,0.033,0.667,0.791,0.0,0.0,10722.0,6063.0,1.0
p_pain[2903],1.0,0.001,0.999,1.0,0.0,0.0,10430.0,5763.0,1.0
p_pain[2904],0.839,0.035,0.774,0.906,0.0,0.0,10468.0,5763.0,1.0
p_pain[2905],0.548,0.078,0.406,0.698,0.001,0.001,7354.0,5278.0,1.0
p_pain[2906],0.998,0.002,0.994,1.0,0.0,0.0,10468.0,5763.0,1.0
p_pain[2907],0.865,0.064,0.743,0.967,0.001,0.0,8830.0,5846.0,1.0
p_pain[2908],0.969,0.017,0.937,0.995,0.0,0.0,10377.0,5754.0,1.0
p_pain[2909],0.971,0.016,0.941,0.995,0.0,0.0,10765.0,5647.0,1.0
p_pain[2910],0.999,0.002,0.996,1.0,0.0,0.0,10336.0,5650.0,1.0
